code,predicted_pm2.5
242,4.7527366
243,3.6930676
244,2.9927804
245,4.114298
246,4.583166
247,3.4067912
248,3.3243148
249,5.505523
250,2.7129
251,5.3232465
252,3.4475765
253,4.3870053
254,5.400469
255,4.9158297
256,4.4265356
257,4.5395484
258,4.954811
259,3.1888707
260,3.3430247
261,3.9669693
262,4.0122175
263,4.0940075
264,3.8124127
265,3.9367888
266,3.3364527
267,2.7708426
268,3.2886002
269,4.245386
270,4.1216817
271,4.6665816
272,3.8924587
273,2.5695853
274,2.5434723
275,3.4124036
276,4.876581
277,5.067636
278,3.572178
279,4.297039
280,3.9737043
281,4.0491085
282,4.09787
283,4.4582505
284,3.107718
285,5.1145687
286,5.193485
287,5.4020114
288,5.602774
289,3.2867806
290,4.763492
291,5.2592144
292,5.073323
293,5.1660995
294,2.3334785
295,5.3251367
296,5.6188464
297,5.0972114
298,4.8160706
299,5.306873
300,5.562995
301,5.3237104
302,4.560305
303,5.2699323
304,4.1960144
305,5.682962
306,3.2087898
307,3.4193792
308,2.7644956
309,4.3160267
310,3.3605404
311,4.7825346
312,3.5930843
313,4.0544205
314,3.2577763
315,4.0494614
316,2.6023726
317,2.5700555
318,3.163239
319,4.356724
320,2.4047692
321,5.58345
322,4.8420568
323,5.416733
324,5.5062804
325,5.25271
326,5.3911805
327,4.4829283
328,3.7913747
329,2.4407585
330,4.016001
331,3.3319638
332,4.042068
333,3.767784
334,3.1912298
335,4.998697
336,5.3020964
337,4.726943
338,5.103164
339,5.026729
340,3.429006
341,5.0859404
342,3.7510507
343,5.0401015
344,4.0036354
345,2.9460864
346,3.650148
347,3.1806254
348,2.8435285
349,3.6072865
350,5.1123157
351,3.356512
352,4.100944
353,3.8987274
354,4.204655
355,5.427935
356,3.2386804
357,5.428955
358,5.467411
359,5.6071744
360,5.5261974
361,5.324277
362,5.749727
363,5.5822363
364,4.93178
365,5.5411224
366,5.5168138
367,3.5822387
368,3.9827363
369,5.2497497
370,3.3698494
371,5.4118876
372,4.278692
373,5.2034883
374,5.3466797
375,4.800518
376,4.2842326
377,4.293263
378,4.4502883
379,4.20654
380,4.2182713
381,3.1588235
382,4.075129
383,3.326404
384,3.9847412
385,4.65424
386,3.9395602
387,3.7316442
388,1.9213798
389,3.2999463
390,5.3605666
391,5.3618836
392,5.4220676
393,5.760685
394,5.4986496
395,5.6971235
396,5.393205
397,3.5969298
398,4.4261055
399,5.2355156
400,3.4107704
401,4.958248
402,4.110694
403,4.204091
404,5.3354263
405,5.4213886
406,5.836299
407,4.0663705
408,5.3954716
409,5.3936644
410,4.1733136
411,4.701006
412,3.8403819
413,5.4698005
414,4.7487
415,3.6076941
416,4.013418
417,4.6769443
418,5.3207426
419,2.916175
420,3.1716566
421,5.3961782
422,3.5486054
423,4.332835
424,4.4021626
425,4.828276
426,5.2899833
427,5.3182907
428,5.4681115
429,5.5084662
430,5.536759
431,5.6877437
432,4.390825
433,5.542458
434,4.232904
435,5.3658786
436,4.169443
437,4.4789658
438,5.325189
439,5.3969502
440,3.8054128
441,5.3757534
442,2.797945
443,4.2968216
444,3.8284097
445,4.792225
446,3.615326
447,4.1366334
448,4.1192036
449,3.6348705
450,3.267249
451,4.728624
452,3.4626641
453,3.8692274
454,3.4442084
455,3.172902
456,3.3475008
457,3.9411607
458,3.270073
459,5.1095223
460,4.705228
461,3.9002461
462,5.482934
463,3.1723766
464,5.287465
465,5.515856
466,4.710019
467,4.4293175
468,5.1088314
469,3.3158433
470,4.1514897
471,4.1187305
472,3.3752818
473,3.2846003
474,5.318286
475,5.420305
476,4.9997916
477,5.513478
478,5.669416
479,3.8652565
480,5.3002934
481,3.4178214
482,3.5906029
483,5.5444202
484,5.162621
485,3.8464952
486,5.3440733
487,5.456662
488,3.006041
489,4.4677005
490,2.5822587
